iter	Passed	Remaining
0	112	112565
1	113	56710
2	114	38072
3	115	28747
4	116	23161
5	117	19466
6	118	16800
7	119	14791
8	120	13223
9	120	11958
10	121	10928
11	122	10087
12	123	9394
13	126	8874
14	127	8369
15	128	7920
16	129	7515
17	130	7145
18	132	6819
19	133	6518
20	133	6236
21	134	5981
22	135	5750
23	136	5538
24	137	5348
25	138	5176
26	139	5017
27	140	4876
28	141	4746
29	143	4624
30	143	4500
31	145	4387
32	146	4286
33	147	4187
34	148	4089
35	149	3992
36	149	3899
37	150	3813
38	151	3736
39	152	3660
40	154	3602
41	155	3544
42	157	3496
43	158	3439
44	159	3380
45	160	3322
46	161	3271
47	162	3230
48	163	3180
49	164	3129
50	165	3079
51	166	3030
52	167	2984
53	167	2942
54	169	2908
55	171	2887
56	172	2854
57	173	2818
58	174	2784
59	175	2752
60	176	2722
61	177	2692
62	178	2660
63	179	2629
64	180	2599
65	181	2568
66	182	2540
67	183	2518
68	184	2495
69	186	2475
70	187	2451
71	188	2426
72	189	2401
73	189	2376
74	190	2351
75	191	2327
76	192	2303
77	192	2280
78	193	2258
79	194	2235
80	195	2213
81	195	2192
82	196	2168
83	197	2150
84	198	2132
85	199	2115
86	200	2099
87	200	2082
88	201	2065
89	202	2048
90	203	2030
91	204	2013
92	204	1999
93	205	1985
94	206	1970
95	207	1955
96	208	1941
97	209	1927
98	210	1913
99	211	1901
100	212	1891
101	213	1878
102	214	1867
103	215	1856
104	216	1844
105	217	1833
106	218	1821
107	219	1809
108	219	1797
109	220	1785
110	221	1774
111	222	1764
112	223	1753
113	224	1742
114	224	1730
115	225	1719
116	226	1707
117	227	1698
118	228	1689
119	229	1681
120	230	1672
121	230	1661
122	231	1652
123	232	1642
124	233	1632
125	234	1623
126	234	1612
127	235	1604
128	236	1595
129	237	1586
130	237	1577
131	238	1568
132	239	1559
133	240	1551
134	240	1543
135	241	1535
136	242	1528
137	243	1521
138	244	1515
139	245	1507
140	246	1500
141	246	1490
142	247	1483
143	248	1476
144	249	1468
145	249	1461
146	250	1454
147	251	1446
148	252	1439
149	252	1433
150	253	1426
151	254	1420
152	255	1414
153	256	1407
154	257	1401
155	258	1396
156	259	1391
157	260	1387
158	261	1381
159	262	1376
160	262	1369
161	263	1363
162	264	1357
163	265	1354
164	266	1348
165	267	1343
166	268	1337
167	268	1331
168	269	1325
169	270	1320
170	271	1315
171	272	1311
172	273	1307
173	274	1303
174	275	1298
175	276	1292
176	276	1287
177	277	1282
178	278	1276
179	279	1272
180	280	1268
181	281	1263
182	282	1259
183	283	1255
184	284	1251
185	285	1248
186	286	1244
187	287	1240
188	288	1237
189	289	1233
190	290	1229
191	291	1227
192	292	1223
193	294	1222
194	294	1217
195	295	1213
196	296	1208
197	297	1204
198	298	1199
199	298	1195
200	299	1191
201	300	1187
202	301	1183
203	302	1180
204	303	1178
205	305	1176
206	306	1172
207	307	1169
208	308	1166
209	309	1164
210	310	1161
211	311	1158
